date_time,id_site,Tpic,Dir,Etal,Tz,Hm0,Ts1,Ts2,Tc,Tav,Tint,Tp,EPS2,EPS4,Qp,S2,Tref,Tw,Batt,timestamp
2019-03-15 10:25:00,8,2.9400000000,293.7000000000,33.6000000000,3.0100000000,0.8500000000,4.0000000000,3.1500000000,2.5800000000,3.3600000000,3.2600000000,5.0700000000,0.3127230000,0.5108480000,2.0052740000,0.0602390000,24.8500000000,12.5000000000,7.0000000000,2019-03-15 10:30:00
2019-03-15 10:55:00,8,3.0300000000,303.6000000000,29.1000000000,3.0300000000,0.8600000000,3.9400000000,3.1800000000,2.6000000000,3.3800000000,3.6100000000,4.9000000000,0.3095660000,0.5153610000,2.2926120000,0.0600350000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 11:00:00
2019-03-15 11:25:00,8,4.1700000000,230.5000000000,14.3000000000,3.1500000000,0.8600000000,4.1500000000,3.3100000000,2.6400000000,3.5300000000,3.5900000000,5.2100000000,0.3283540000,0.5437910000,1.8862090000,0.0555730000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 11:30:00
2019-03-15 11:55:00,8,3.1200000000,283.9000000000,29.5000000000,3.1700000000,0.9100000000,4.0600000000,3.3400000000,2.6600000000,3.5400000000,3.5800000000,4.9500000000,0.3225070000,0.5473950000,1.9244790000,0.0578810000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 12:00:00
2019-03-15 12:25:00,8,2.9400000000,286.7000000000,29.1000000000,3.1200000000,0.9200000000,4.0100000000,3.2700000000,2.6800000000,3.4600000000,3.5100000000,4.9100000000,0.3039240000,0.5157130000,2.1076020000,0.0603900000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 12:30:00
2019-03-15 12:55:00,8,5.0000000000,231.9000000000,22.4000000000,3.1500000000,0.8400000000,4.2200000000,3.3400000000,2.5900000000,3.5800000000,3.6200000000,5.3500000000,0.3519070000,0.5682140000,1.7703370000,0.0542800000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 13:00:00
2019-03-15 13:25:00,8,4.7600000000,229.1000000000,21.0000000000,3.2000000000,0.9400000000,4.1000000000,3.3600000000,2.6700000000,3.5600000000,3.6700000000,5.0000000000,0.3254530000,0.5461610000,1.9310240000,0.0588440000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 13:30:00
2019-03-15 13:55:00,8,4.7600000000,233.3000000000,19.7000000000,3.1500000000,0.9500000000,4.0200000000,3.2900000000,2.6700000000,3.4800000000,3.7700000000,4.9000000000,0.3082490000,0.5271340000,2.2032120000,0.0613880000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 14:00:00
2019-03-15 14:25:00,8,4.5500000000,229.1000000000,16.1000000000,3.1000000000,0.8600000000,4.0600000000,3.2500000000,2.5900000000,3.4700000000,3.5300000000,5.0800000000,0.3273400000,0.5454410000,1.8898420000,0.0573370000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 14:30:00
2019-03-15 14:55:00,8,2.8600000000,286.7000000000,22.4000000000,3.0300000000,0.7900000000,3.9400000000,3.1600000000,2.5800000000,3.3700000000,3.3500000000,4.9000000000,0.3140690000,0.5180470000,1.9428130000,0.0551480000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 15:00:00
2019-03-15 15:25:00,8,2.5600000000,299.4000000000,26.4000000000,2.9000000000,0.6800000000,4.0700000000,3.0600000000,2.4700000000,3.3000000000,3.0700000000,5.4100000000,0.3323800000,0.5259900000,1.7835120000,0.0518830000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 15:30:00
2019-03-15 15:55:00,8,4.5500000000,229.1000000000,17.0000000000,2.9400000000,0.6800000000,4.0300000000,3.0800000000,2.5000000000,3.3100000000,3.1700000000,5.2900000000,0.3214760000,0.5180440000,1.8543990000,0.0503900000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 16:00:00
2019-03-15 16:25:00,8,2.7800000000,268.4000000000,21.0000000000,2.7600000000,0.5700000000,4.1300000000,2.9200000000,2.3600000000,3.1900000000,2.9400000000,5.8500000000,0.3386330000,0.5213060000,1.8418220000,0.0480140000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 16:30:00
2019-03-15 16:55:00,8,2.7000000000,298.0000000000,36.3000000000,2.7800000000,0.5300000000,4.2000000000,2.9400000000,2.3700000000,3.2300000000,2.9200000000,6.0200000000,0.3456640000,0.5220390000,1.7657380000,0.0440310000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 17:00:00
2019-03-15 17:25:00,8,2.7800000000,278.3000000000,30.4000000000,2.8200000000,0.5300000000,4.4900000000,3.0000000000,2.4000000000,3.3400000000,3.0500000000,6.7100000000,0.3561560000,0.5265500000,1.7581850000,0.0428160000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 17:30:00
2019-03-15 17:55:00,8,2.5600000000,285.3000000000,24.6000000000,2.7800000000,0.4900000000,4.5500000000,2.9400000000,2.3500000000,3.3000000000,3.0100000000,7.0300000000,0.3632930000,0.5258830000,1.7692430000,0.0407080000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 18:00:00
2019-03-15 18:25:00,8,2.5600000000,281.1000000000,17.9000000000,2.6100000000,0.4900000000,4.2700000000,2.7700000000,2.2500000000,3.1000000000,2.7900000000,6.6000000000,0.3512260000,0.5083980000,1.8975980000,0.0459550000,24.8500000000,12.5500000000,7.0000000000,2019-03-15 18:30:00
