Date rain(mm) temperature(cel)
1-2009 36.646 25.6886
2-2009 31.7799 26.4204
3-2009 24.1016 27.1658
4-2009 110.999 26.7052
5-2009 77.8675 25.318
6-2009 34.2258 24.4893
7-2009 25.7643 23.7839
8-2009 22.1578 24.9515
9-2009 23.557 25.159
10-2009 125.723 25.5136
11-2009 69.3797 25.5172
12-2009 78.1164 26.6913
1-2010 44.8542 26.3826
2-2010 44.9905 26.4943
3-2010 93.3977 27.0439
4-2010 99.346 26.6786
5-2010 70.5265 24.9819
6-2010 52.1094 24.15
7-2010 27.713 23.3629
8-2010 29.9459 24.0117
9-2010 24.2978 24.5616
10-2010 52.3763 25.6294
11-2010 59.7442 25.2363
12-2010 47.3163 26.2019
1-2011 26.1232 26.2354
2-2011 31.4753 26.1567
3-2011 81.6418 26.9268
4-2011 72.2796 27.1329
5-2011 91.2994 25.7885
6-2011 30.6519 24.4103
7-2011 20.2493 23.7832
8-2011 31.7365 23.645
9-2011 38.0104 24.7918
10-2011 66.0639 25.1035
11-2011 116.268 25.1091
12-2011 46.5791 25.1678
1-2012 38.5032 24.8059
2-2012 15.6873 25.8603
3-2012 31.9556 26.3579
4-2012 122.256 26.0085
5-2012 101.328 25.638
6-2012 46.9642 24.0494
7-2012 28.0941 23.341
8-2012 30.822 23.2154
9-2012 44.3166 25.0183
10-2012 93.9702 25.5858
11-2012 111.808 24.923
12-2012 104.308 25.6655
1-2013 45.4013 25.2206
2-2013 22.9427 26.3958
3-2013 153.986 27.4341
4-2013 149.26 24.6741
5-2013 69.8086 25.7978
6-2013 27.181 23.214
7-2013 27.0799 23.8115
8-2013 58.4273 23.5112
9-2013 46.3291 25.3242
10-2013 44.4752 24.9766
11-2013 86.8101 25.5144
12-2013 66.1564 25.5392
1-2014 22.7423 25.4809
2-2014 31.2742 26.969
3-2014 62.2474 26.8811
4-2014 69.896 25.3992
5-2014 72.7671 25.7504
6-2014 40.6142 25.2813
7-2014 27.6559 24.595
8-2014 33.1821 24.0209
9-2014 38.1539 24.6478
10-2014 70.9307 25.8025
11-2014 107.921 24.9503
12-2014 50.5397 25.6212
1-2015 27.6448 25.037
2-2015 24.5305 25.8811
3-2015 53.4039 25.9173
4-2015 145.944 26.4535
5-2015 98.0513 25.0145
6-2015 49.9997 24.5622
7-2015 28.0156 24.2829
8-2015 26.0428 24.2959
9-2015 37.6938 25.2014
10-2015 72.3612 27.0425
11-2015 153.212 25.1404
12-2015 69.9374 26.5248
